candidate_name,season_name,age_raw,gender_normalized,profession_raw,profession_normalized,profession_category,physical_search_query_1,physical_search_query_2,physical_search_query_3,explicit_sport_activity,sport_name,sport_frequency,sport_intensity,competition_level,years_of_practice,physical_job_evidence,other_physical_evidence,physical_source_url_1,physical_source_excerpt_1,physical_source_quality_1,physical_source_url_2,physical_source_excerpt_2,physical_source_quality_2,evidence_status,manual_review_required,research_notes,physical_score,physical_score_justification,physical_score_sources,physical_score_confidence,physical_score_reviewer_status,physical_score_based_on_profession_only,physical_evidence_strength,physical_evidence_count,manual_research_required,manual_research_priority,manual_research_request,manual_research_result,manual_research_source_url,manual_research_source_excerpt,manual_research_review_status,physical_score_definition_version,physical_zero_reason,physical_positive_reason,documented_muscular_build,muscularity_evidence_text,muscularity_source_url,muscularity_source_quality,muscularity_evidence_period,muscularity_reviewer_status,manual_evidence_source_url,manual_evidence_source_title,manual_evidence_exact_excerpt,manual_evidence_added_by,manual_source_complete,physical_freeze_ready,physical_score_source_status,manual_source_validation_note
Charlie Vincent-Mussard,Koh-Lanta : Thaïlande,28,FEMALE,Restauratrice de meubles,Restauratrice de meubles,MANUEL_TECHNIQUE,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,,0,"Aucune pratique sportive intensive, aucun niveau de compétition, aucune musculature documentée et aucune profession nécessitant une condition physique supérieure à la moyenne ne sont documentés. Le profil est donc classé dans la catégorie physique ordinaire.",,MEDIUM,VALIDATED,False,INSUFFICIENT,0,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,NO_QUALIFYING_PHYSICAL_INDICATOR,,False,,,,,,,,,,True,True,,
Laurence Corbellotti,Koh-Lanta : Thaïlande,37,FEMALE,Animatrice et danseuse,Animatrice et danseuse,ART_MEDIA_COMMUNICATION,,,,,,,,,,,,,,,,,,PARTIAL_EVIDENCE,,Décision issue de la recherche manuelle de l'utilisateur. La profession d'animatrice et danseuse ne conduit pas automatiquement à un score 1.,0,"Les recherches manuelles n'ont pas identifié d'indicateur de musculature, de gabarit athlétique ou de pratique physique suffisamment intensive. Son activité de danse, telle qu'elle est documentée, ne suffit pas à la classer au-dessus d'un profil physique ordinaire.",,MEDIUM,VALIDATED,False,INSUFFICIENT,1,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,NO_QUALIFYING_PHYSICAL_INDICATOR,,False,,,,,,,,,,True,True,,
Marius Torterat,Koh-Lanta : Thaïlande,21,MALE,Étudiant en design automobile,Étudiant en design automobile,ETUDIANT,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,,0,"Aucune pratique sportive intensive, aucun niveau de compétition, aucune musculature documentée et aucune profession nécessitant une condition physique supérieure à la moyenne ne sont documentés. Le profil est donc classé dans la catégorie physique ordinaire.",,MEDIUM,VALIDATED,False,INSUFFICIENT,0,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,NO_QUALIFYING_PHYSICAL_INDICATOR,,False,,,,,,,,,,True,True,,
Céline Parat-Yeghiayan,Koh-Lanta : Thaïlande,44,FEMALE,Formatrice,Formatrice,EDUCATION_RECHERCHE,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,,1,"Pratique régulière et soutenue du trail, participation à plusieurs parcours.",,HIGH,VALIDATED,False,STRONG,3,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,,ENDURANCE_TRAINING,False,,,,,,,,,,True,True,,
Huw Francis,Koh-Lanta : Thaïlande,38,MALE,Entrepreneur dans l'événement sportif,Entrepreneur dans l'événementiel sportif,COMMERCE_GESTION,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,,1,Trail régulier et moniteur de ski.,,HIGH,VALIDATED,True,STRONG,3,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,,MULTIPLE_QUALIFYING_INDICATORS,False,,,,,,,,,,True,True,,
Carole Poncelet,Koh-Lanta : Thaïlande,51,FEMALE,Agente territoriale et maître-nageuse ; présentée comme escrimeuse,Maître-nageuse et agente territoriale,SPORT_SECURITE,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,,1,Escrime compétitive internationale vétéran et maître-nageuse.,,HIGH,VALIDATED,True,STRONG,3,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,,HIGH_PHYSICAL_TRAINING,False,,,,,,,,,,True,True,,
"Laurence ""Lolo"" Facione",Koh-Lanta : Thaïlande,45,FEMALE,Maître-nageur,Maître-nageuse,SPORT_SECURITE,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,,1,"Aucune pratique sportive intensive, aucun niveau de compétition, aucune musculature documentée et aucune profession nécessitant une condition physique supérieure à la moyenne ne sont documentés. Le profil est donc classé dans la catégorie physique ordinaire.",,HIGH,VALIDATED,True,STRONG,1,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,,DIRECT_PHYSICAL_PROFESSION,False,,,,,,,,,,True,True,,
Amir Doukhan,Koh-Lanta : Thaïlande,46,MALE,Directeur commercial,Directeur commercial,COMMERCE_GESTION,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,,0,"Aucune pratique sportive intensive, aucun niveau de compétition, aucune musculature documentée et aucune profession nécessitant une condition physique supérieure à la moyenne ne sont documentés. Le profil est donc classé dans la catégorie physique ordinaire.",,MEDIUM,VALIDATED,False,INSUFFICIENT,0,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,NO_QUALIFYING_PHYSICAL_INDICATOR,,False,,,,,,,,,,True,True,,
Cassandre Girard,Koh-Lanta : Thaïlande,22,FEMALE,Diplômée en tourisme,Diplômée en tourisme,AUTRE,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,,0,"Aucune pratique sportive intensive, aucun niveau de compétition, aucune musculature documentée et aucune profession nécessitant une condition physique supérieure à la moyenne ne sont documentés. Le profil est donc classé dans la catégorie physique ordinaire.",,MEDIUM,VALIDATED,False,INSUFFICIENT,0,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,NO_QUALIFYING_PHYSICAL_INDICATOR,,False,,,,,,,,,,True,True,,
Romain Palazzetti,Koh-Lanta : Thaïlande,28,MALE,Entrepreneur en domotique,Entrepreneur en domotique,COMMERCE_GESTION,,,,,,,,,,,,,,,,,,SUFFICIENT_EVIDENCE,,"Décision manuelle assumée par l'utilisateur. La page Fandom est conservée comme référence d'identité et de profil, sans lui attribuer une description musculaire absente de son texte.",1,"Romain est classé dans le groupe physique supérieur à la moyenne sur la base d'une évaluation manuelle validée par l'utilisateur indiquant un gabarit musclé. Sa mention comme judoka constitue un élément contextuel complémentaire, mais elle ne suffit pas à elle seule à déterminer le score.",,MEDIUM,VALIDATED,False,STRONG,2,False,NONE,,,,,VALIDATED,MUSCULAR_ATHLETIC_BINARY_V2,,MUSCULAR_BUILD,True,Évaluation manuelle validée par l'utilisateur : gabarit musclé.,https://kohlanta.fandom.com/fr/wiki/Romain_Palazzetti,USER_MANUAL_RESEARCH,CONTEMPORARY_TO_SEASON,VALIDATED,https://kohlanta.fandom.com/fr/wiki/Romain_Palazzetti,Romain Palazzetti | Wiki Koh Lanta | Fandom,Classification manuelle de l'utilisateur : Romain présente un gabarit musclé.,USER,True,True,USER_VALIDATED_MANUAL_CLASSIFICATION,"La page Fandom confirme l'identité de Romain Palazzetti et sa participation à Koh-Lanta : Thaïlande. Le classement physique ne provient pas d'une description textuelle présente sur cette page, mais d'une évaluation manuelle explicitement validée par l'utilisateur."
