season_id,season_name,candidate_name,age,physical_score,physical_positive_reason,physical_score_justification,physical_score_confidence,physical_score_reviewer_status,final_departure_cause
KL03,Koh-Lanta : Bocas del Toro,Antoine Sanchez,58.0,1.0,STRICT_MANUAL_VALIDATED_POSITIVE,Passion documentée pour le cyclisme.,MANUAL_STRICT_VALIDATED,MANUAL_STRICT_ACCEPTED,FINALE_ORIENTATION
KL03,Koh-Lanta : Bocas del Toro,Michel Jeandel,41.0,1.0,STRENGTH_OR_COMBAT_SPORT,"La pratique déclarée de la boxe, complétée par le VTT, constitue un indicateur d’un profil physiquement entraîné au-dessus d’un profil ordinaire.",MEDIUM,EXTERNAL_RESEARCH_VALIDATED,MEDICAL
KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,29.0,1.0,DIRECT_PHYSICAL_PROFESSION,La profession de moniteur sportif actif constitue une preuve directe d’un entraînement physique régulier et supérieur à un profil ordinaire.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,22.0,1.0,STRENGTH_OR_COMBAT_SPORT,"Les sources documentent le kung-fu et le kick-boxing, ainsi qu’un niveau de champion et un profil d’athlète accompli.",MEDIUM,EXTERNAL_RESEARCH_VALIDATED,FINALE_POTEAUX
KL08,KL KL08,Christophe,39.0,1.0,ELITE_COMPETITIVE_SPORT,Boxeur professionnel : activité sportive exercée au niveau professionnel. Cet élément satisfait le critère positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL13,Koh-Lanta : Raja Ampat,Anthony Amar,23.0,1.0,MULTIPLE_QUALIFYING_INDICATORS,Il est professeur de fitness et décrit textuellement comme un colosse ; la profession physique et la description du gabarit fournissent deux indicateurs concordants.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL13,Koh-Lanta : Raja Ampat,Benoît Mahieux,31.0,1.0,HIGH_PHYSICAL_TRAINING,"Le portrait officiel reproduit le décrit explicitement comme un sportif confirmé, ce qui constitue un indicateur textuel d’un profil physique supérieur à la moyenne.",MEDIUM,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL13,Koh-Lanta : Raja Ampat,Catherine Diard,53.0,1.0,HIGH_PHYSICAL_TRAINING,Son ancienne fonction de capitaine d’une équipe de basket à haut niveau documente une pratique sportive exigeante et compétitive.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL13,Koh-Lanta : Raja Ampat,Laurent Maistret,29.0,1.0,STRICT_MANUAL_VALIDATED_POSITIVE,"Danse professionnelle, boxe française et profil athlétique documenté.",MANUAL_STRICT_VALIDATED,MANUAL_STRICT_ACCEPTED,FINALE_POTEAUX
KL13,Koh-Lanta : Raja Ampat,"Nawal ""Naouel"" Hadjaf",25.0,1.0,DIRECT_PHYSICAL_PROFESSION,"Elle a fait du football freestyle son métier et organise des spectacles, ce qui documente une pratique physique active supérieure à un profil ordinaire.",HIGH,EXTERNAL_RESEARCH_VALIDATED,VOLUNTARY
KL15,Koh-Lanta : Malaisie,Anthony,24.0,1.0,DOCUMENTED_MUSCULAR_BUILD_OR_SPORT,Physique très musclé explicitement documenté.,MANUAL_STRICT_VALIDATED,MANUAL_STRICT_ACCEPTED,AMBASSADEURS
KL15,Koh-Lanta : Malaisie,Marylou,22.0,1.0,COMPETITIVE_SPORT_BACKGROUND,Ancienne membre de l’équipe de France de taekwondo jusqu’à 19 ans. Cet élément satisfait le critère binaire positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL15,Koh-Lanta : Malaisie,Sara [ N 1 ],42.0,1.0,DOCUMENTED_MUSCULAR_BUILD_OR_SPORT,Physique très musclé explicitement documenté et activité liée au fitness.,MANUAL_STRICT_VALIDATED,MANUAL_STRICT_ACCEPTED,MEDICAL
KL17,Koh-Lanta : Johor,Chantel Ménard,45.0,1.0,ELITE_COMPETITIVE_SPORT,"Triple championne du monde de kickboxing, selon son portrait officiel. Cet élément satisfait le critère binaire positif.",HIGH,EXTERNAL_RESEARCH_VALIDATED,JURY_FINAL_DECISION
KL17,Koh-Lanta : Johor,Isabelle Haouzi,54.0,1.0,DIRECT_PHYSICAL_PROFESSION,Professeure de danse : activité professionnelle directement physique et sportive. Cet élément satisfait le critère binaire positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL17,Koh-Lanta : Johor,Mélissa Bastin,28.0,1.0,DIRECT_PHYSICAL_PROFESSION,"Elle dispense des cours de danse après son travail, ce qui documente une pratique physique régulière d’enseignement. Cet élément satisfait le critère binaire positif.",HIGH,EXTERNAL_RESEARCH_VALIDATED,FINALE_POTEAUX
KL17,Koh-Lanta : Johor,Sébastien Ballesteros,25.0,1.0,HIGH_PHYSICAL_TRAINING,Le portrait officiel le décrit explicitement comme un « sportif aguerri ». Cet élément satisfait le critère binaire positif.,HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL18,Koh-Lanta : Thaïlande,Alain Chrisostome,56.0,1.0,STRENGTH_OR_COMBAT_SPORT,,MEDIUM,VALIDATED,VOTE_CONSEIL
KL18,Koh-Lanta : Thaïlande,Carine Cazals,34.0,1.0,HIGH_PHYSICAL_TRAINING,,HIGH,VALIDATED,VOTE_CONSEIL
KL18,Koh-Lanta : Thaïlande,Carole Poncelet,51.0,1.0,HIGH_PHYSICAL_TRAINING,,HIGH,VALIDATED,VOTE_CONSEIL
KL18,Koh-Lanta : Thaïlande,Cécilia Siharaj,28.0,1.0,MULTIPLE_QUALIFYING_INDICATORS,,MEDIUM,VALIDATED,FINALE_ORIENTATION
KL18,Koh-Lanta : Thaïlande,Céline Parat-Yeghiayan,44.0,1.0,ENDURANCE_TRAINING,,HIGH,VALIDATED,VOTE_CONSEIL
KL18,Koh-Lanta : Thaïlande,Huw Francis,38.0,1.0,MULTIPLE_QUALIFYING_INDICATORS,,HIGH,VALIDATED,VOTE_CONSEIL
KL18,Koh-Lanta : Thaïlande,Karima Neggaz,26.0,1.0,DIRECT_PHYSICAL_PROFESSION,,MEDIUM,VALIDATED,VOTE_CONSEIL
KL18,Koh-Lanta : Thaïlande,"Laurence ""Lolo"" Facione",45.0,1.0,DIRECT_PHYSICAL_PROFESSION,,HIGH,VALIDATED,VOTE_CONSEIL
KL18,Koh-Lanta : Thaïlande,Nicolas Rouyé,32.0,1.0,MUSCULAR_BUILD,,MEDIUM,VALIDATED,VOTE_CONSEIL
KL18,Koh-Lanta : Thaïlande,Romain Palazzetti,28.0,1.0,MUSCULAR_BUILD,,MEDIUM,VALIDATED,VOTE_CONSEIL
KL18,Koh-Lanta : Thaïlande,Wendy Gervois,26.0,1.0,STRENGTH_OR_COMBAT_SPORT,,HIGH,VALIDATED,CENSORED_WINNER
KL22,Koh-Lanta : La Guerre des Chefs,Aliséa,20.0,1.0,SPORT_EDUCATION_AND_ATHLETICS,"Étudiante en STAPS, spécialité athlétisme : formation et pratique directement sportives. Cet élément satisfait le critère binaire positif.",HIGH,EXTERNAL_RESEARCH_VALIDATED,MEDICAL
KL22,Koh-Lanta : La Guerre des Chefs,Aurélien,23.0,1.0,DIRECT_PHYSICAL_PROFESSION,"Cascadeur : profession directement physique nécessitant entraînement, coordination et condition physique. Cet élément satisfait le critère positif.",HIGH,EXTERNAL_RESEARCH_VALIDATED,FINALE_ORIENTATION
KL22,Koh-Lanta : La Guerre des Chefs,Béatrice,28.0,1.0,EXPLICIT_SPORT_ACTIVITY,"Elle est présentée comme joueuse de football, ce qui constitue une pratique sportive explicite. Cet élément satisfait le critère positif.",HIGH,EXTERNAL_RESEARCH_VALIDATED,VOTE_CONSEIL
KL22,Koh-Lanta : La Guerre des Chefs,Clo,28.0,1.0,STRICT_MANUAL_VALIDATED_POSITIVE,"Profil décrit comme très sportif, endurant et passionné de sport depuis l’enfance.",MANUAL_STRICT_VALIDATED,MANUAL_STRICT_ACCEPTED,FINALE_ORIENTATION
