candidate_name,search_query_gender,search_query_profession,search_query_departure,gender_candidate_value,profession_candidate_value,departure_candidate_value,gender_source_url,gender_source_excerpt,profession_source_url,profession_source_excerpt,departure_source_url,departure_source_excerpt,review_status,review_notes
Charlie Vincent-Mussard,"""Charlie Vincent-Mussard"" Koh-Lanta genre candidat","""Charlie Vincent-Mussard"" Koh-Lanta profession métier","""Charlie Vincent-Mussard"" Koh-Lanta abandon départ Thaïlande",FEMALE,Restauratrice de meubles,ABANDON_VOLONTAIRE,https://kohlanta.fandom.com/fr/wiki/Charlie_Vincent-Mussard,Charlie Vincent-Mussard est une aventurière de Koh Lanta : Thaïlande. [...] la jeune femme s'épanouit aujourd'hui dans son métier.,https://survivor.fandom.com/wiki/Charlie_Vincent-Mussard,Métier : Restauratrice de meubles.,https://kohlanta.fandom.com/fr/wiki/Charlie_Vincent-Mussard,La jeune femme n'avait donc tout simplement pas le choix : elle a quitté le jeu bien que les médecins la déclaraient apte à continuer.,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Sortie issue de données validées (lot 1) | Sortie volontaire dans un contexte lié à un traitement médical confisqué ; ne pas assimiler à une évacuation décidée par le médecin.
Laurence Corbellotti,"""Laurence Corbellotti"" Koh-Lanta genre candidat","""Laurence Corbellotti"" Koh-Lanta profession métier","""Laurence Corbellotti"" Koh-Lanta abandon départ Thaïlande",FEMALE,Animatrice et danseuse,,https://kohlanta.fandom.com/fr/wiki/Laurence_Corbellotti,Laurence Corbellotti est une aventurière de Koh Lanta : Thaïlande.,https://www.tf1.fr/fr-lu/tf1/koh-lanta/news/koh-lanta-thailande-decouvrez-portrait-de-laurence-5638890.html,"Agée de 37 ans, Laurence vient des Bouches-du-Rhône où elle travaille comme animatrice et danseuse.",,,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Conflit résolu grâce au portrait officiel TF1 publié avant la diffusion de la saison. La profession retenue pour 2016 est animatrice et danseuse. Les valeurs secondaires 'nounou pour chien' et 'organizer' ne sont pas retenues dans le dataset principal.
Marius Torterat,"""Marius Torterat"" Koh-Lanta genre candidat","""Marius Torterat"" Koh-Lanta profession métier","""Marius Torterat"" Koh-Lanta abandon départ Thaïlande",MALE,Étudiant en design automobile,ABANDON_VOLONTAIRE,https://www.estrepublicain.fr/culture-loisirs/2020/06/04/koh-lanta-ils-sont-de-lorraine-vous-les-avez-vus-a-la-tele,"Né en 1994, le jeune homme a passé un bac scientifique à Épinal.",https://www.estrepublicain.fr/culture-loisirs/2020/06/04/koh-lanta-ils-sont-de-lorraine-vous-les-avez-vus-a-la-tele,Il étudie le design automobile à Lille.,https://www.estrepublicain.fr/culture-loisirs/2020/06/04/koh-lanta-ils-sont-de-lorraine-vous-les-avez-vus-a-la-tele,"Après quelques jours d'aventure, il abandonne [...] il déclare que l'aventure ne lui procurait aucun plaisir et, plus tard, se dira oppressé par les caméras.",COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Sortie issue de données validées (lot 1)
Céline Parat-Yeghiayan,"""Céline Parat-Yeghiayan"" Koh-Lanta genre candidat","""Céline Parat-Yeghiayan"" Koh-Lanta profession métier","""Céline Parat-Yeghiayan"" Koh-Lanta abandon départ Thaïlande",FEMALE,Formatrice,,https://survivor.fandom.com/wiki/C%C3%A9line_Parat-Yeghiayan,"Femme de caractère et exigeante, Céline sait ce qu'elle veut.",https://survivor.fandom.com/wiki/C%C3%A9line_Parat-Yeghiayan,Métier : Formatrice.,,,COMPLETE,"Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Ancien portrait indiqué comme provenant de TF1, mais actuellement hébergé sur une base secondaire."
Huw Francis,"""Huw Francis"" Koh-Lanta genre candidat","""Huw Francis"" Koh-Lanta profession métier","""Huw Francis"" Koh-Lanta abandon départ Thaïlande",MALE,Entrepreneur dans l'événementiel sportif,,https://www.tf1.fr/fr-sn/tf1/koh-lanta/news/koh-lanta-thailande-focus-5-moments-forts-d-hier-soir-8795762.html,Un départ que le jeune homme n'a pas vu venir. [...] ce Gallois d'origine.,https://www.tf1.fr/fr-sn/tf1/koh-lanta/news/koh-lanta-thailande-focus-5-moments-forts-d-hier-soir-8795762.html,Cet entrepreneur dans événement sportif n'a toujours pas digéré cette trahison.,,,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Profession confirmée par une source officielle TF1 et cohérente avec son parcours professionnel antérieur.
Carole Poncelet,"""Carole Poncelet"" Koh-Lanta genre candidat","""Carole Poncelet"" Koh-Lanta profession métier","""Carole Poncelet"" Koh-Lanta abandon départ Thaïlande",FEMALE,Maître-nageuse et agente territoriale,,https://www.tf1info.fr/culture/photos-qui-sont-les-20-candidats-de-koh-lanta-15-en-thailande-1503642.html,"Carole, candidate de Koh-Lanta : Thaïlande.",https://www.rtl.fr/culture/medias-people/koh-lanta-une-fonctionnaire-revoquee-pour-y-avoir-participe-en-plein-arret-maladie-7799363467,Carole Poncelet était agent territorial titulaire et maître-nageur à Clermont-Ferrand.,,,COMPLETE,"Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Le portrait promotionnel TF1 la présentait comme escrimeuse. Des sources journalistiques fiables précisent que son emploi était agente territoriale et maître-nageuse. Conserver la mention d'escrimeuse comme activité sportive, pas comme unique profession."
"Laurence ""Lolo"" Facione","""Laurence ""Lolo"" Facione"" Koh-Lanta genre candidat","""Laurence ""Lolo"" Facione"" Koh-Lanta profession métier","""Laurence ""Lolo"" Facione"" Koh-Lanta abandon départ Thaïlande",FEMALE,Maître-nageuse,,https://www.tf1info.fr/culture/koh-lanta-saison-15-en-thailande-menuisier-hipster-militaire-sexy-et-maitre-nageur-hysterique-ca-promet-1501151.html,"Lolo, 45 ans, est la première à rejoindre l'île. Elle est maître-nageur.",https://www.tf1info.fr/culture/koh-lanta-saison-15-en-thailande-menuisier-hipster-militaire-sexy-et-maitre-nageur-hysterique-ca-promet-1501151.html,"Lolo, 45 ans [...] est maître-nageur.",,,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Profession indiquée par une source TF1 contemporaine de la diffusion.
Amir Doukhan,"""Amir Doukhan"" Koh-Lanta genre candidat","""Amir Doukhan"" Koh-Lanta profession métier","""Amir Doukhan"" Koh-Lanta abandon départ Thaïlande",MALE,Directeur commercial,,https://kohlanta.fandom.com/fr/wiki/Amir_Doukhan,Amir Doukhan est un candidat de Koh-Lanta : Thaïlande.,https://kohlanta.fandom.com/fr/wiki/Amir_Doukhan,Profession : Directeur commercial.,,,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Informations issues d'une base secondaire spécialisée. Confiance moyenne en attendant éventuellement un portrait TF1 archivé.
Cassandre Girard,"""Cassandre Girard"" Koh-Lanta genre candidat","""Cassandre Girard"" Koh-Lanta profession métier","""Cassandre Girard"" Koh-Lanta abandon départ Thaïlande",FEMALE,Diplômée en tourisme,AMBASSADEURS_TIRAGE_AU_SORT,https://kohlanta.fandom.com/fr/wiki/Cassandre_Girard,Cassandre Girard est une aventurière de Koh-Lanta : Thaïlande.,https://www.tf1info.fr/culture/koh-lanta-saison-15-en-thailande-menuisier-hipster-militaire-sexy-et-maitre-nageur-hysterique-ca-promet-1501151.html,"Cassandre, diplômée en tourisme, mannequin à ses heures perdues.",https://www.tf1info.fr/culture/koh-lanta-15-episode-7-cassandre-et-romain-sont-elimines-1507825.html,Les deux ambassadeurs doivent désigner un aventurier ou tirer au sort et risquer leur propre place. Cassandre tire ensuite la boule noire et est éliminée.,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Sortie issue de données validées (lot 1) | La source officielle indique une qualification plutôt qu'un emploi précis. Ne pas inventer de métier. Conserver 'diplômée en tourisme' comme formulation brute et normalisée. | Sortie auditée et corrigée : élimination aux ambassadeurs par tirage de la boule noire. Il ne s'agit pas d'un duel ni d'une élimination liée à une épreuve.
Romain Palazzetti,"""Romain Palazzetti"" Koh-Lanta genre candidat","""Romain Palazzetti"" Koh-Lanta profession métier","""Romain Palazzetti"" Koh-Lanta abandon départ Thaïlande",MALE,Entrepreneur en domotique,,https://www.tf1info.fr/culture/koh-lanta-thailande-romain-elimine-regrette-davoir-neglige-les-relations-humaines-1507905.html,Le jeune homme quitte l'aventure après le premier conseil de la tribu réunifiée.,https://www.tf1info.fr/culture/koh-lanta-saison-15-en-thailande-menuisier-hipster-militaire-sexy-et-maitre-nageur-hysterique-ca-promet-1501151.html,"Romain, judoka et entrepreneur en domotique.",,,COMPLETE,"Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Profession indiquée par une source TF1 contemporaine de la saison. La mention de judoka doit être conservée pour la future recherche sportive, mais ne pas calculer le score physique maintenant."
Julien Castro,"""Julien Castro"" Koh-Lanta genre candidat","""Julien Castro"" Koh-Lanta profession métier","""Julien Castro"" Koh-Lanta abandon départ Thaïlande",MALE,Menuisier,,https://www.tf1info.fr/culture/koh-lanta-2016-episode-8-julien-quitte-laventure-1508323.html,Julien s'est mis en danger en révélant qu'il était épuisé [...] Il quitte la baie le cœur lourd.,https://www.tf1info.fr/culture/photos-qui-sont-les-20-candidats-de-koh-lanta-15-en-thailande-1503642.html,Julien au look de hipster est un menuisier de 29 ans.,,,COMPLETE,Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | Menuisier aux côtés de son père selon le portrait de candidat. Source officielle contemporaine de la saison.
Laureen Hugel,"""Laureen Hugel"" Koh-Lanta genre candidat","""Laureen Hugel"" Koh-Lanta profession métier","""Laureen Hugel"" Koh-Lanta abandon départ Thaïlande",FEMALE,Étudiante en mode et création,,https://kohlanta.fandom.com/fr/wiki/Laureen_Hugel,Laureen Hugel est une des candidates de Koh Lanta : Thaïlande.,https://survivor.fandom.com/wiki/Laureen_Hugel,Métier : Etudiante en mode et création.,,,COMPLETE,"Genre issu de données validées (lot 1) | Profession issue de données validées (lot 1) | La fiche secondaire indique que le profil a été récupéré depuis l'ancien portrait TF1. Une source officielle archivée serait préférable, mais l'information est suffisamment cohérente pour une confiance moyenne."
