candidate_season_key,season_id,season_name,candidate_name,age,gender_normalized,profession_normalized,physical_score,physical_score_justification,physical_score_sources,physical_positive_reason,physical_score_confidence,strict_review_decision,strict_review_reason,strict_review_source,strict_review_status
KL02::xavier,KL02,KL KL02,Xavier,29.0,MALE,Kinésithérapeute,1.0,Kinésithérapeute : profession directement corporelle et physiquement active selon la règle méthodologique retenue. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Nicoya | Kinésithérapeute : profession directement corporelle et physiquement active selon la règle méthodologique retenue.,DIRECT_PHYSICAL_PROFESSION,MEDIUM,,,,TO_REVIEW
KL03::michel jeandel,KL03,Koh-Lanta : Bocas del Toro,Michel Jeandel,41.0,MALE,Artisan couvreur,1.0,"La pratique déclarée de la boxe, complétée par le VTT, constitue un indicateur d’un profil physiquement entraîné au-dessus d’un profil ordinaire.","https://survivor.fandom.com/wiki/Michel_Jeandel | Passion : VTT, boxe et nature.",STRENGTH_OR_COMBAT_SPORT,MEDIUM,,,,TO_REVIEW
KL03::moundir zoughari,KL03,Koh-Lanta : Bocas del Toro,Moundir Zoughari,29.0,MALE,Moniteur sportif,1.0,La profession de moniteur sportif actif constitue une preuve directe d’un entraînement physique régulier et supérieur à un profil ordinaire.,https://survivor.fandom.com/wiki/Moundir_Zoughari | Profession : moniteur sportif ; passion : sports et musique.,DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL03::moussa niangane,KL03,Koh-Lanta : Bocas del Toro,Moussa Niangane,22.0,MALE,Gérant de vidéo-club,1.0,"Les sources documentent le kung-fu et le kick-boxing, ainsi qu’un niveau de champion et un profil d’athlète accompli.",https://survivor.fandom.com/wiki/Moussa_Niangane | Passion : kung-fu et hip-hop ; une présentation ultérieure le décrit comme champion du monde de kung-fu et de kick-boxing et comme athlète accompli.,STRENGTH_OR_COMBAT_SPORT,MEDIUM,,,,TO_REVIEW
KL07::grégoire,KL07,KL KL07,Grégoire,24.0,MALE,Jardinier,1.0,Jardinier : métier manuel de terrain directement physique. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Palawan | Jardinier : métier manuel de terrain directement physique.,DIRECT_PHYSICAL_PROFESSION,HIGH,,,,TO_REVIEW
KL08::christophe,KL08,KL KL08,Christophe,39.0,MALE,Boxeur professionnel et patron de pizzerias,1.0,Boxeur professionnel : activité sportive exercée au niveau professionnel. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Caramoan | Boxeur professionnel : activité sportive exercée au niveau professionnel.,ELITE_COMPETITIVE_SPORT,HIGH,,,,TO_REVIEW
KL13::anthony amar,KL13,Koh-Lanta : Raja Ampat,Anthony Amar,23.0,MALE,Professeur de fitness,1.0,Il est professeur de fitness et décrit textuellement comme un colosse ; la profession physique et la description du gabarit fournissent deux indicateurs concordants.,"https://survivor.fandom.com/wiki/Anthony_Amar | « Ce colosse, professeur de fitness ».",MULTIPLE_QUALIFYING_INDICATORS,HIGH,,,,TO_REVIEW
KL13::benoît mahieux,KL13,Koh-Lanta : Raja Ampat,Benoît Mahieux,31.0,MALE,Responsable d’études statistiques,1.0,"Le portrait officiel reproduit le décrit explicitement comme un sportif confirmé, ce qui constitue un indicateur textuel d’un profil physique supérieur à la moyenne.","https://survivor.fandom.com/wiki/Beno%C3%AEt_Mahieux | « En sportif confirmé, Benoît est prêt à en découdre. »",HIGH_PHYSICAL_TRAINING,MEDIUM,,,,TO_REVIEW
KL13::catherine diard,KL13,Koh-Lanta : Raja Ampat,Catherine Diard,53.0,FEMALE,Cheffe comptable,1.0,Son ancienne fonction de capitaine d’une équipe de basket à haut niveau documente une pratique sportive exigeante et compétitive.,https://kohlanta.fandom.com/fr/wiki/Catherine_Barnier | Ancienne capitaine d’une équipe de basket à haut niveau.,HIGH_PHYSICAL_TRAINING,HIGH,,,,TO_REVIEW
KL13::martin bazin,KL13,Koh-Lanta : Raja Ampat,Martin Bazin,23.0,MALE,Chef d’entreprise,1.0,Le portrait le décrit explicitement comme sportif et hyperactif. Cet élément satisfait le critère positif.,https://kohlanta.fandom.com/fr/wiki/Koh-Lanta_%3A_Raja_Ampat | Le portrait le décrit explicitement comme sportif et hyperactif.,EXPLICIT_ATHLETIC_PROFILE,MEDIUM,,,,TO_REVIEW
