candidate_season_key,season_id,season_name,candidate_name,survival_time,departure_type_normalized,departure_category,departure_model_category,final_position_raw,proposed_departure_cause,proposed_confidence,proposal_reason,manual_final_cause,manual_review_status,source_url_1,source_excerpt_1,source_url_2,source_excerpt_2,source_quality,season_year,age,gender,physical_score,event,censored,returned_to_game,first_exit_order,final_exit_order,physical_score_confidence,gender_male,physical_score_available,complete_case_main_model,complete_case_physical_model,search_query
KL15::namadia [ n 4 ],KL15,Koh-Lanta : Malaisie,Namadia [ N 4 ],9.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Namadia [ N 4 ]"" Koh-Lanta Koh-Lanta : Malaisie première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL15::marylou,KL15,Koh-Lanta : Malaisie,Marylou,10.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminée,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Marylou"" Koh-Lanta Koh-Lanta : Malaisie première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL15::catherine,KL15,Koh-Lanta : Malaisie,Catherine,11.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminée,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Catherine"" Koh-Lanta Koh-Lanta : Malaisie première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL15::camille,KL15,Koh-Lanta : Malaisie,Camille,12.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminée,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Camille"" Koh-Lanta Koh-Lanta : Malaisie première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL15::thierry,KL15,Koh-Lanta : Malaisie,Thierry,14.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Thierry"" Koh-Lanta Koh-Lanta : Malaisie première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL15::myriam,KL15,Koh-Lanta : Malaisie,Myriam,15.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminée,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Myriam"" Koh-Lanta Koh-Lanta : Malaisie première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL15::bernard,KL15,Koh-Lanta : Malaisie,Bernard,16.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Bernard"" Koh-Lanta Koh-Lanta : Malaisie première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL15::philippe [ n 5 ],KL15,Koh-Lanta : Malaisie,Philippe [ N 5 ],17.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminé,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Philippe [ N 5 ]"" Koh-Lanta Koh-Lanta : Malaisie première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL15::vanessa,KL15,Koh-Lanta : Malaisie,Vanessa,18.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Éliminée,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Vanessa"" Koh-Lanta Koh-Lanta : Malaisie première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL17::manon allender,KL17,Koh-Lanta : Johor,Manon Allender,4.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Left Competition Day 12,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Manon Allender"" Koh-Lanta Koh-Lanta : Johor première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL18::charlie vincent-mussard,KL18,Koh-Lanta : Thaïlande,Charlie Vincent-Mussard,1.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Left Competition Day 3,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Charlie Vincent-Mussard"" Koh-Lanta Koh-Lanta : Thaïlande première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL18::marius torterat,KL18,Koh-Lanta : Thaïlande,Marius Torterat,3.0,INDETERMINE,INDETERMINE,AUTRE_SORTIE,Left Competition Day 6,UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Marius Torterat"" Koh-Lanta Koh-Lanta : Thaïlande première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL22::émilie,KL22,Koh-Lanta : La Guerre des Chefs,Émilie,3.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminée [ 8 ] , [ 9 ] [source secondaire souhaitée] , [ 10 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Émilie"" Koh-Lanta Koh-Lanta : La Guerre des Chefs première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL22::victor,KL22,Koh-Lanta : La Guerre des Chefs,Victor,4.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminé [ 11 ] , [ 12 ] [source secondaire souhaitée] , [ 13 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Victor"" Koh-Lanta Koh-Lanta : La Guerre des Chefs première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL22::chloé,KL22,Koh-Lanta : La Guerre des Chefs,Chloé,5.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminée [ 14 ] , [ 15 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Chloé"" Koh-Lanta Koh-Lanta : La Guerre des Chefs première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL22::xavier,KL22,Koh-Lanta : La Guerre des Chefs,Xavier,6.0,INDETERMINE,INDETERMINE,INDETERMINE,Éliminé [ 16 ] [source secondaire souhaitée],UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Xavier"" Koh-Lanta Koh-Lanta : La Guerre des Chefs première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL22::frédéric,KL22,Koh-Lanta : La Guerre des Chefs,Frédéric,7.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminé [ 17 ] , [ 18 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Frédéric"" Koh-Lanta Koh-Lanta : La Guerre des Chefs première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL22::alexandre,KL22,Koh-Lanta : La Guerre des Chefs,Alexandre,8.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminé [ 17 ] , [ 19 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Alexandre"" Koh-Lanta Koh-Lanta : La Guerre des Chefs première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL22::béatrice,KL22,Koh-Lanta : La Guerre des Chefs,Béatrice,9.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminée [ 20 ] , [ 21 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Béatrice"" Koh-Lanta Koh-Lanta : La Guerre des Chefs première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL22::brice,KL22,Koh-Lanta : La Guerre des Chefs,Brice,10.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminé [ 22 ] , [ 23 ] [source secondaire souhaitée] , [ 24 ] [source secondaire souhaitée]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Brice"" Koh-Lanta Koh-Lanta : La Guerre des Chefs première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL22::sophie,KL22,Koh-Lanta : La Guerre des Chefs,Sophie,11.0,INDETERMINE,INDETERMINE,INDETERMINE,Éliminée [ 25 ] [source secondaire souhaitée],UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Sophie"" Koh-Lanta Koh-Lanta : La Guerre des Chefs première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL22::angélique,KL22,Koh-Lanta : La Guerre des Chefs,Angélique,12.0,INDETERMINE,INDETERMINE,INDETERMINE,Éliminée [ 26 ] [source secondaire souhaitée],UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Angélique"" Koh-Lanta Koh-Lanta : La Guerre des Chefs première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL22::mohamed,KL22,Koh-Lanta : La Guerre des Chefs,Mohamed,13.0,INDETERMINE,INDETERMINE,INDETERMINE,Éliminé [ 27 ] [source secondaire souhaitée],UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Mohamed"" Koh-Lanta Koh-Lanta : La Guerre des Chefs première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL22::nicolas,KL22,Koh-Lanta : La Guerre des Chefs,Nicolas,14.0,INDETERMINE,INDETERMINE,INDETERMINE,Éliminé [ 28 ] [source secondaire souhaitée],UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Nicolas"" Koh-Lanta Koh-Lanta : La Guerre des Chefs première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL22::maxime,KL22,Koh-Lanta : La Guerre des Chefs,Maxime,15.0,INDETERMINE,INDETERMINE,INDETERMINE,Éliminé [ 29 ] [source secondaire souhaitée],UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Maxime"" Koh-Lanta Koh-Lanta : La Guerre des Chefs première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
KL22::cyril,KL22,Koh-Lanta : La Guerre des Chefs,Cyril,16.0,INDETERMINE,INDETERMINE,INDETERMINE,"Éliminé [ 30 ] [source secondaire souhaitée] , [ 31 ]",UNRESOLVED,LOW,Informations insuffisantes ou ambiguës,,NEEDS_RESEARCH,,,,,,,,,,,,,,,,,,,,"""Cyril"" Koh-Lanta Koh-Lanta : La Guerre des Chefs première sortie élimination conseil médical épreuve ambassadeurs destins liés orientation poteaux abandon volontaire expulsion"
